time	V(v_cuad)	V(v_triag)
1.129812877228286e-05	3.027671e-01	1.778625e+00
1.133772698599866e-05	3.027686e-01	1.795214e+00
1.138593469036811e-05	3.027610e-01	1.812642e+00
1.144020224585364e-05	3.027606e-01	1.832378e+00
1.149782680734408e-05	3.027641e-01	1.854452e+00
1.155662926994262e-05	3.027722e-01	1.877426e+00
1.162941266484951e-05	3.027781e-01	1.905742e+00
1.172494379134339e-05	3.027881e-01	1.942739e+00
1.182494379134339e-05	3.027964e-01	1.981491e+00
1.192494379134339e-05	3.028075e-01	2.020268e+00
1.202494379134339e-05	3.028162e-01	2.059039e+00
1.212494379134339e-05	3.028274e-01	2.097812e+00
1.222494379134339e-05	3.028364e-01	2.136590e+00
1.232494379134339e-05	3.028476e-01	2.175367e+00
1.242494379134340e-05	3.028567e-01	2.214146e+00
1.242650629134339e-05	3.028574e-01	2.214752e+00
1.242963129134339e-05	3.028578e-01	2.215964e+00
1.243041254134339e-05	3.028578e-01	2.216267e+00
1.243060785384340e-05	3.028578e-01	2.216343e+00
1.243099847884339e-05	3.028578e-01	2.216494e+00
1.243101315592727e-05	3.028578e-01	2.216500e+00
1.243104251009503e-05	3.028576e-01	2.216511e+00
1.243110121843053e-05	3.028292e-01	2.216534e+00
1.243119863198695e-05	3.026527e-01	2.216570e+00
1.243121233473996e-05	3.026321e-01	2.216575e+00
1.243123974024598e-05	3.025483e-01	2.216584e+00
1.243124659162249e-05	3.025206e-01	2.216587e+00
1.243126029437550e-05	3.024618e-01	2.216591e+00
1.243126372006375e-05	3.024457e-01	2.216593e+00
1.243127057144026e-05	3.024177e-01	2.216595e+00
1.243128427419327e-05	3.023703e-01	2.216599e+00
1.243131167969930e-05	3.022841e-01	2.216608e+00
1.243136649071135e-05	3.021320e-01	2.216625e+00
1.243147611273545e-05	3.018945e-01	2.216660e+00
1.243169535678365e-05	3.016112e-01	2.216733e+00
1.243213384488006e-05	3.014849e-01	2.216892e+00
1.243286770108850e-05	3.017887e-01	2.217178e+00
1.243397221234091e-05	3.023371e-01	2.217617e+00
1.243569317105384e-05	3.026928e-01	2.218287e+00
1.243854110266550e-05	3.027409e-01	2.219375e+00
1.244315123462683e-05	3.027338e-01	2.221114e+00
1.245237149854950e-05	3.027462e-01	2.224528e+00
1.247081202639483e-05	3.027680e-01	2.231190e+00
1.249223378003253e-05	3.027978e-01	2.238851e+00
1.251876912145400e-05	3.028264e-01	2.248558e+00
1.254910155585092e-05	3.028498e-01	2.260160e+00
1.259170483285765e-05	3.028683e-01	2.277186e+00
1.265237655200142e-05	3.028809e-01	2.301786e+00
1.275237655200142e-05	3.028912e-01	2.341303e+00
1.285237655200142e-05	3.029003e-01	2.379889e+00
1.295237655200142e-05	3.029108e-01	2.418590e+00
