time	V(pwm)	V(v_triag)	V(vmed)	V(n003)
7.334560536351045e-06	3.422044e-01	1.901043e+00	1.711745e+00	1.524709e+00
7.359560536351045e-06	2.976499e-01	1.914875e+00	1.717988e+00	1.524759e+00
7.409560536351045e-06	2.709615e-01	1.941855e+00	1.731087e+00	1.524867e+00
7.417467543169137e-06	2.707466e-01	1.946119e+00	1.733203e+00	1.524885e+00
7.433281556805318e-06	2.705207e-01	1.954828e+00	1.737458e+00	1.524921e+00
7.437235060214364e-06	2.704750e-01	1.957057e+00	1.738531e+00	1.524931e+00
7.445142067032455e-06	2.703972e-01	1.961639e+00	1.740690e+00	1.524949e+00
7.460956080668637e-06	2.702775e-01	1.972427e+00	1.745180e+00	1.524988e+00
7.464453283032798e-06	2.702557e-01	1.975875e+00	1.746253e+00	1.524996e+00
7.471447687761120e-06	2.702239e-01	1.988546e+00	1.748673e+00	1.525013e+00
7.473196288943201e-06	2.702386e-01	2.000675e+00	1.749529e+00	1.525018e+00
7.473633439238721e-06	2.702477e-01	2.004851e+00	1.749759e+00	1.525019e+00
7.474507739829761e-06	2.702802e-01	2.016088e+00	1.750265e+00	1.525021e+00
7.476256341011841e-06	2.703002e-01	2.025884e+00	1.751431e+00	1.525025e+00
7.478627316582353e-06	2.702411e-01	2.019630e+00	1.752991e+00	1.525031e+00
7.482466331123443e-06	2.701768e-01	2.013962e+00	1.755157e+00	1.525041e+00
7.486480635537906e-06	2.701285e-01	2.010017e+00	1.757105e+00	1.525051e+00
7.494509244366832e-06	2.700743e-01	2.007989e+00	1.760758e+00	1.525072e+00
7.510566462024684e-06	2.700275e-01	2.011189e+00	1.768428e+00	1.525115e+00
7.534576372156773e-06	2.700047e-01	2.020730e+00	1.779205e+00	1.525184e+00
7.575465332725397e-06	2.699979e-01	2.039479e+00	1.793555e+00	1.525309e+00
7.633268360797561e-06	2.700321e-01	2.068606e+00	1.810099e+00	1.525503e+00
7.700218204088173e-06	2.701385e-01	2.102435e+00	1.827828e+00	1.525747e+00
7.783280315076264e-06	2.704295e-01	2.144482e+00	1.849457e+00	1.526075e+00
7.883280315076265e-06	2.710465e-01	2.194365e+00	1.875399e+00	1.526507e+00
7.983280315076265e-06	2.718708e-01	2.243914e+00	1.901288e+00	1.526980e+00
8.083280315076266e-06	2.727689e-01	2.292579e+00	1.927137e+00	1.527496e+00
8.183280315076267e-06	2.736921e-01	2.340672e+00	1.952944e+00	1.528057e+00
8.283280315076268e-06	2.746172e-01	2.387535e+00	1.978716e+00	1.528665e+00
8.383280315076268e-06	2.755481e-01	2.433171e+00	2.004450e+00	1.529322e+00
8.483280315076269e-06	2.764769e-01	2.476370e+00	2.030149e+00	1.530030e+00
8.583280315076270e-06	2.774100e-01	2.515542e+00	2.055813e+00	1.530792e+00
8.683280315076270e-06	2.783406e-01	2.542731e+00	2.081440e+00	1.531611e+00
8.783280315076271e-06	2.792705e-01	2.394255e+00	2.106961e+00	1.532491e+00
8.883280315076272e-06	2.806761e-01	2.087564e+00	2.132378e+00	1.533435e+00
8.946667319801162e-06	2.813974e-01	2.115960e+00	2.148564e+00	1.534069e+00
8.991840941805958e-06	2.815281e-01	2.152805e+00	2.160141e+00	1.534539e+00
9.012023208806482e-06	2.816738e-01	2.156533e+00	2.165299e+00	1.534753e+00
9.030971166477354e-06	2.818348e-01	2.156448e+00	2.170136e+00	1.534958e+00
9.058302614282916e-06	2.820997e-01	2.152050e+00	2.177103e+00	1.535258e+00
9.083799412747586e-06	2.823559e-01	2.147803e+00	2.183603e+00	1.535543e+00
9.111681303537083e-06	2.826427e-01	2.143132e+00	2.190711e+00	1.535861e+00
9.140126174261545e-06	2.829275e-01	2.140272e+00	2.197963e+00	1.536191e+00
9.175389127350399e-06	2.832796e-01	2.137008e+00	2.206951e+00	1.536611e+00
9.226175056985815e-06	2.837763e-01	2.133867e+00	2.219892e+00	1.537235e+00
9.279349257943605e-06	2.843013e-01	2.129696e+00	2.233436e+00	1.537914e+00
9.334872205133710e-06	2.848484e-01	2.125654e+00	2.247569e+00	1.538652e+00
9.414100610305735e-06	2.856401e-01	2.118732e+00	2.267726e+00	1.539760e+00
9.514100610305735e-06	2.866407e-01	2.110499e+00	2.293157e+00	1.541259e+00
9.614100610305736e-06	2.876532e-01	2.101210e+00	2.318565e+00	1.542883e+00
9.714100610305737e-06	2.886685e-01	2.092181e+00	2.343951e+00	1.544649e+00
9.814100610305737e-06	2.896972e-01	2.082090e+00	2.369327e+00	1.546576e+00
9.914100610305738e-06	2.907288e-01	2.072296e+00	2.394713e+00	1.548691e+00
1.001410061030574e-05	2.917759e-01	2.061483e+00	2.420143e+00	1.551025e+00
1.011410061030574e-05	2.928330e-01	2.051056e+00	2.445733e+00	1.553623e+00
1.021410061030574e-05	2.939350e-01	2.039954e+00	2.471930e+00	1.556546e+00
1.031410061030574e-05	2.950747e-01	2.029942e+00	2.499206e+00	1.559882e+00
1.041410061030574e-05	2.962759e-01	2.020138e+00	2.527899e+00	1.563768e+00
1.051410061030574e-05	2.974268e-01	2.011419e+00	2.556801e+00	1.568409e+00
1.061410061030574e-05	2.985539e-01	2.001178e+00	2.584463e+00	1.574131e+00
1.071410061030574e-05	2.996592e-01	1.989715e+00	2.610837e+00	1.581514e+00
1.081410061030574e-05	3.007363e-01	1.975689e+00	2.635534e+00	1.591805e+00
1.091410061030575e-05	2.988232e-01	1.939996e+00	2.613891e+00	1.607682e+00
1.100994680578742e-05	3.599348e-01	1.859831e+00	2.542915e+00	1.634444e+00
1.102244680578742e-05	4.371627e-01	1.845839e+00	2.534394e+00	1.639592e+00
1.104744680578742e-05	7.114537e-01	1.817507e+00	2.520152e+00	1.652975e+00
1.109744680578742e-05	1.055511e+00	1.767189e+00	2.504211e+00	1.705480e+00
1.109761850762868e-05	1.056521e+00	1.767040e+00	2.504180e+00	1.705763e+00
1.109796191131121e-05	1.058343e+00	1.766743e+00	2.504119e+00	1.706337e+00
1.109864871867628e-05	1.061221e+00	1.766151e+00	2.503999e+00	1.707507e+00
1.109882042051754e-05	1.078050e+00	1.762456e+00	2.503965e+00	1.707824e+00
1.109886334597786e-05	1.095104e+00	1.758581e+00	2.503955e+00	1.707909e+00
1.109894919689849e-05	1.143172e+00	1.745826e+00	2.503933e+00	1.708095e+00
1.109912089873975e-05	1.234892e+00	1.706333e+00	2.503860e+00	1.708553e+00
1.109913212130393e-05	1.238881e+00	1.703673e+00	2.503854e+00	1.708587e+00
1.109914708472283e-05	1.243215e+00	1.700582e+00	2.503845e+00	1.708632e+00
1.109917701156064e-05	1.249260e+00	1.695802e+00	2.503827e+00	1.708723e+00
1.109923686523625e-05	1.254909e+00	1.690275e+00	2.503787e+00	1.708905e+00
1.109935657258747e-05	1.256312e+00	1.686864e+00	2.503696e+00	1.709260e+00
1.109959598728991e-05	1.252453e+00	1.686555e+00	2.503482e+00	1.709923e+00
1.110007481669479e-05	1.248055e+00	1.686412e+00	2.502990e+00	1.711106e+00
1.110103247550456e-05	1.247301e+00	1.685974e+00	2.502003e+00	1.713161e+00
1.110294779312409e-05	1.253807e+00	1.685336e+00	2.500482e+00	1.716901e+00
1.110578557451728e-05	1.263166e+00	1.684509e+00	2.499187e+00	1.722417e+00
1.111146113730367e-05	1.274252e+00	1.683570e+00	2.497769e+00	1.733926e+00
1.112068372296874e-05	1.285573e+00	1.683328e+00	2.495987e+00	1.753347e+00
1.113418582619628e-05	1.302467e+00	1.685229e+00	2.493880e+00	1.781459e+00
1.115367305730994e-05	1.367216e+00	1.691111e+00	2.492153e+00	1.818455e+00
1.115677067160341e-05	1.389381e+00	1.692397e+00	2.492005e+00	1.823839e+00
1.116296590019036e-05	1.460863e+00	1.695101e+00	2.491767e+00	1.834618e+00
1.116451470733710e-05	1.488943e+00	1.695824e+00	2.491729e+00	1.837326e+00
1.116761232163057e-05	1.568940e+00	1.697308e+00	2.491670e+00	1.842903e+00
1.116838672520394e-05	1.598376e+00	1.697690e+00	2.491662e+00	1.844373e+00
1.116993553235067e-05	1.675778e+00	1.698465e+00	2.491655e+00	1.847454e+00
1.117032273413736e-05	1.702360e+00	1.698661e+00	2.491656e+00	1.848287e+00
1.117109713771072e-05	1.767157e+00	1.699056e+00	2.491662e+00	1.850034e+00
1.117264594485746e-05	2.051635e+00	1.699858e+00	2.491710e+00	1.854687e+00
1.117303314664414e-05	2.240332e+00	1.700061e+00	2.491740e+00	1.856550e+00
1.117312994709082e-05	2.300704e+00	1.700112e+00	2.491749e+00	1.857056e+00
1.117332354798416e-05	2.451924e+00	1.700215e+00	2.491767e+00	1.858179e+00
1.117371074977084e-05	3.204829e+00	1.700420e+00	2.491816e+00	1.861934e+00
1.117380755021751e-05	3.741546e+00	1.700472e+00	2.491835e+00	1.863715e+00
1.117400115111085e-05	4.735147e+00	1.700578e+00	2.491883e+00	1.868139e+00
1.117438835289754e-05	4.754337e+00	1.700789e+00	2.492028e+00	1.877160e+00
1.117516275647091e-05	4.757834e+00	1.701205e+00	2.492354e+00	1.888326e+00
1.117671156361764e-05	4.742808e+00	1.702041e+00	2.492792e+00	1.897543e+00
1.117883718696255e-05	4.732756e+00	1.703219e+00	2.493014e+00	1.901327e+00
1.118294203070812e-05	4.730017e+00	1.705580e+00	2.493111e+00	1.906219e+00
1.118901528157164e-05	4.730946e+00	1.709262e+00	2.493155e+00	1.913046e+00
1.120116178329869e-05	4.731967e+00	1.717186e+00	2.493252e+00	1.924722e+00
1.122545478675277e-05	4.732685e+00	1.734277e+00	2.493309e+00	1.942403e+00
1.125838998486915e-05	4.732697e+00	1.756719e+00	2.493068e+00	1.958267e+00
1.129812877228286e-05	4.732350e+00	1.778625e+00	2.492516e+00	1.969985e+00
1.133772698599866e-05	4.732378e+00	1.795214e+00	2.491989e+00	1.976667e+00
1.138593469036811e-05	4.732474e+00	1.812642e+00	2.491589e+00	1.980750e+00
1.144020224585364e-05	4.732718e+00	1.832378e+00	2.491412e+00	1.982218e+00
1.149782680734408e-05	4.732691e+00	1.854452e+00	2.491379e+00	1.981949e+00
1.155662926994262e-05	4.732667e+00	1.877426e+00	2.491384e+00	1.980778e+00
1.162941266484951e-05	4.732426e+00	1.905742e+00	2.491385e+00	1.978791e+00
1.172494379134339e-05	4.732232e+00	1.942739e+00	2.491381e+00	1.975761e+00
1.182494379134339e-05	4.731903e+00	1.981491e+00	2.491383e+00	1.972384e+00
1.192494379134339e-05	4.731694e+00	2.020268e+00	2.491391e+00	1.968943e+00
1.202494379134339e-05	4.731375e+00	2.059039e+00	2.491404e+00	1.965513e+00
1.212494379134339e-05	4.731176e+00	2.097812e+00	2.491417e+00	1.962098e+00
1.222494379134339e-05	4.730873e+00	2.136590e+00	2.491434e+00	1.958716e+00
1.232494379134339e-05	4.730684e+00	2.175367e+00	2.491452e+00	1.955354e+00
1.242494379134340e-05	4.730392e+00	2.214146e+00	2.491471e+00	1.952024e+00
1.242650629134339e-05	4.730414e+00	2.214752e+00	2.491472e+00	1.951972e+00
1.242963129134339e-05	4.730398e+00	2.215964e+00	2.491472e+00	1.951867e+00
1.243041254134339e-05	4.730375e+00	2.216267e+00	2.491472e+00	1.951841e+00
